KeyTerm,Sentence,System1,System2,Reverse,SentenceNumber,text1,text2
sweden,"At 450,295 square kilometres -lrb- 173,860 sq mi -rrb- , sweden is the largest country in northern europe , the third-largest country in the european union and the fifth largest country in europe by area .","Relation: is, Related to: the largest country in northern europe","Relation: is used for, Related to: At 450,295 square kilometres -lrb- 173,860 sq<br/>Relation: is defined as, Related to: largest country in northern europe , the third-largest country in the european union and the fifth largest country in europe by area",1,3,,
cactus,"A cactus -lrb- plural : cacti , cactuses , or cactus -rrb- is a member of the plant family cactaceae , a family comprising about 127 genera with some 1750 known species of the order caryophyllales .","Relation: is used for, Related to: A cactus<br/>Relation: is defined as, Related to: cactuses cactus about 127 genera with some known species of the order caryophyllales<br/>Relation: is a, Related to: a member of the plant family cactaceae , family<br/>Relation: has the property, Related to: A cactus<br/>Relation: is a, Related to: a member of the plant family cactaceae , a family about<br/>Relation: is defined as, Related to: 127 genera with some known species of the order caryophyllales","Relation: is, Related to: a member of the plant family cactaceae<br/>Relation: is, Related to: a member of the plant family cactaceae",0,1,,
glitter,"Glitter describes an assortment of small , reflective particles that come in a variety of shapes and colors .","Relation: is a, Related to: an assortment of small , reflective particles that come variety<br/>Relation: is defined as, Related to: in and<br/>Relation: is part of, Related to: shapes","Relation: describes, Related to: an assortment of small , reflective particles",0,1,,
hue,"Hue is one of the main properties -lrb- called color appearance parameters -rrb- of a color , defined technically -lrb- in the ciecam02 model -rrb- , as `` the degree to which a stimulus can be described as similar to or different from stimuli that are described as red , green , blue , and yellow '' , -lrb- which in certain theories of color vision are called unique hues -rrb- .","Relation: is, Related to: one of the main properties -lrb-","Relation: has the property, Related to: one of the main properties -lrb- called color appearance parameters<br/>Relation: has the property, Related to: described<br/>Relation: has the property, Related to: described as red , green , blue ,<br/>Relation: is a, Related to: -rrb-<br/>Relation: is a, Related to: called unique hues -rrb-<br/>Relation: is defined as, Related to: a color , -lrb- in the ciecam02 model -rrb- , as `` the degree to which as similar to or different from stimuli that and yellow '' , -lrb- which in certain theories",1,1,,
cheddar,"Cheddar is the most popular type of cheese in the uk , accounting for 51 % of the country 's # 1.9 billion annual cheese market .","Relation: is defined as, Related to: most popular type of cheese in the uk , accounting for 51 % of the country 's # 1.9 billion annual cheese market","Relation: is, Related to: the most popular type of cheese in the uk , accounting for 51 % of the country 's # 1.9 billion annual cheese market<br/>Relation: accounting, Related to: for 51 % of the country 's # 1.9 billion annual cheese market",0,3,,
phloem,"In vascular plants , phloem -lrb- pronunciation : / fl.m / -rrb- is the living tissue that transports the soluble organic compounds made during photosynthesis and known as photosynthates , in particular the sugar sucrose , to parts of the plant where needed .","Relation: is defined as, Related to: living tissue that transports the soluble organic compounds made during photosynthesis and known as photosynthates , in particular the sugar sucrose , parts of the plant where needed","Relation: is, Related to: the living tissue that transports the soluble organic compounds",0,1,,
megaphone,"A megaphone , speaking-trumpet , bullhorn , blowhorn , or loudhailer is usually a portable or hand-held , cone-shaped acoustic horn used to amplify a person 's voice or other sounds and direct it in a given direction .","Relation: is, Related to: usually<br/>Relation: direct, Related to: it","Relation: is a, Related to: A megaphone , speaking-trumpet<br/>Relation: is a, Related to: usually a portable or hand-held , cone-shaped acoustic horn a<br/>Relation: has the property, Related to: amplify<br/>Relation: is defined as, Related to: person 's voice or other sounds and it in a given direction",1,1,,
fingerboard,The fingerboard -lrb- also known as a fretboard on fretted instruments -rrb- is an important component of most stringed instruments .,"Relation: known, Related to: as a fretboard on fretted instruments -rrb-<br/>Relation: is, Related to: an important component of most stringed instruments","Relation: is defined as, Related to: also known as a fretboard on<br/>Relation: is a, Related to: an important component of most stringed instruments",1,1,,
knowledge,"Knowledge is a familiarity , awareness , or understanding of someone or something , such as facts , information , descriptions , or skills , which is acquired through experience or education by perceiving , discovering , or learning .","Relation: is a, Related to: a familiarity , awareness , or understanding of someone or something , such as facts , information , descriptions , or skills , which acquired through experience or education by perceiving , discovering , learning<br/>Relation: has the property, Related to: or","Relation: is, Related to: a familiarity , awareness , or understanding of someone or something , such as facts , information , descriptions , or skills",0,1,,
textile,"Textiles are formed by weaving , knitting , crocheting , knotting , felting , or braiding .","Relation: are, Related to: formed<br/>Relation: formed, Related to: by weaving , knitting , crocheting , knotting , felting , or braiding","Relation: has the property, Related to: formed by weaving , knitting , crocheting ,<br/>Relation: is a, Related to: knotting , felting , or<br/>Relation: is defined as, Related to: braiding",1,3,,
turquoise,"Turquoise is an opaque , blue-to-green mineral that is a hydrated phosphate of copper and aluminium , with the chemical formula cual6 -lrb- po4 -rrb- 4 -lrb- oh -rrb- 8  4h2o .","Relation: is a, Related to: an opaque , blue-to-green mineral that a hydrated phosphate of copper and aluminium , with the chemical formula cual6 -lrb- po4 -rrb- 4<br/>Relation: is defined as, Related to: -lrb- oh -rrb- 8  4h2o","Relation: is, Related to: an opaque , blue - to - green mineral that is a hydrated phosphate of copper and aluminium , with the chemical formula cual6 -lrb- po4 -rrb- 4 -lrb-",0,1,,
rhinoceros,"Members of the rhinoceros family are some of the largest remaining megafauna , with all species able to reach or exceed one tonne in weight .","Relation: are, Related to: some of the largest remaining megafauna , with all species<br/>Relation: exceed, Related to: one tonne in weight","Relation: is a, Related to: some of the largest<br/>Relation: is defined as, Related to: remaining megafauna , with all species able or exceed one tonne in weight",1,4,,
vehicle,"Vehicles include wagons , bicycles , motor vehicles -lrb- motorcycles , cars , trucks , buses -rrb- , railed vehicles -lrb- trains , trams -rrb- , watercraft -lrb- ships , boats -rrb- , amphibious vehicles -lrb- screw-propelled vehicle , hovercraft -rrb- , aircraft -lrb- airplanes , helicopters -rrb- and spacecraft.land vehicles are classified broadly by what is used to apply steering and drive forces against the ground : wheeled , tracked , railed or skied .","Relation: is a, Related to: wagons , bicycles , motor vehicles -lrb- motorcycles , cars , trucks , buses -rrb- , railed vehicles -lrb- trains , trams -rrb- , watercraft -lrb- ships , boats -rrb- , amphibious vehicles -lrb- screw-propelled vehicle , hovercraft -rrb- , aircraft -lrb- airplanes , helicopters -rrb- and spacecraft.land classified broadly by what apply steering<br/>Relation: is used for, Related to: and drive forces against the ground : wheeled , tracked<br/>Relation: causes, Related to: railed or skied","Relation: include, Related to: wagons , bicycles , motor vehicles -lrb- motorcycles , cars , trucks , buses -rrb- , railed vehicles -lrb- trains , trams -rrb- , watercraft -lrb- ships , boats -rrb- , amphibious vehicles -lrb- screw - propelled vehicle , hovercraft -rrb- , aircraft -lrb- airplanes , helicopters -rrb- and spacecraft.land vehicles<br/>Relation: classified, Related to: by what is used to apply steering and drive forces against the ground",0,2,,
loam,"Loam is soil composed mostly of sand -lrb- particle size > 63 m -rrb- , silt -lrb- particle size > 2 m -rrb- , and a smaller amount of clay -lrb- particle size < 2 m -rrb- .","Relation: is a, Related to: soil composed mostly of sand -lrb- particle size > 63 m -rrb- , silt -lrb- particle size > 2 m -rrb- , and a smaller amount of clay -lrb- particle<br/>Relation: is defined as, Related to: 2 m -rrb-","Relation: is, Related to: soil composed mostly of sand -lrb- particle size > 63 m -rrb- , silt -lrb- particle size > 2 m -rrb- , and a smaller amount of clay -lrb- particle size<br/>Relation: composed, Related to: of sand -lrb- particle size > 63 m -rrb- , silt -lrb- particle size > 2 m -rrb- , and a smaller amount of clay -lrb- particle size",0,1,,
smoothing,Smoothing may be used in two important ways that can aid in data analysis -lrb- 1 -rrb- by being able to extract more information from the data as long as the assumption of smoothing is reasonable and -lrb- 2 -rrb- by being able to provide analyses that are both flexible and robust .,"Relation: has the property, Related to: two important ways that in data<br/>Relation: is a, Related to: analysis -lrb- 1 -rrb- by<br/>Relation: causes, Related to: able to extract more information from the data as long<br/>Relation: causes, Related to: reasonable and -lrb- 2 -rrb- by being able to provide analyses that are both flexible and robust","Relation: may, Related to: in two important ways<br/>Relation: be, Related to: used<br/>Relation: used, Related to: in two important ways<br/>Relation: is, Related to: reasonable and -lrb- 2 -rrb-",0,3,,
hare,Hares and jackrabbits are leporids belonging to the genus lepus .,"Relation: are, Related to: leporids belonging to the genus lepus","Relation: is a, Related to: leporids belonging to the genus lepus",1,1,,
pumice,"Pumice -lrb- -rrb- , called pumicite in its powdered or dust form , is a volcanic rock that consists of highly vesicular rough textured volcanic glass , which may or may not contain crystals .","Relation: is a, Related to: -lrb- -rrb- , called pumicite in its powdered or dust<br/>Relation: is a, Related to: a volcanic rock that consists of highly vesicular rough textured volcanic glass , which may or may not contain crystals","Relation: called, Related to: pumicite<br/>Relation: is, Related to: a volcanic rock that consists of highly vesicular rough textured volcanic glass",0,1,,
osmosis,"Osmosis -lrb- -rrb- is the spontaneous net movement of solvent molecules through a selectively permeable membrane into a region of higher solute concentration , in the direction that tends to equalize the solute concentrations on the two sides .","Relation: is, Related to: the spontaneous net movement of solvent molecules through a selectively permeable membrane into a region of higher solute concentration","Relation: is defined as, Related to: spontaneous net movement of solvent molecules through a selectively permeable membrane into a region of higher solute concentration , in the direction that tends to equalize the solute concentrations on the two sides",1,1,,
confetti,"Confetti are small pieces or streamers of paper , mylar , or metallic material which are usually thrown at celebrations , especially parades and weddings .","Relation: is a, Related to: small pieces or streamers of paper , mylar , or metallic material<br/>Relation: is a, Related to: usually thrown at celebrations , especially parades and weddings","Relation: are, Related to: small pieces or streamers of paper , mylar , or metallic material",0,1,,
seagull,The seagull is generally considered to be the first of his four major plays .,"Relation: has the property, Related to: considered to be the first of his four major plays","Relation: is, Related to: generally<br/>Relation: considered, Related to: to be the first of his four major plays<br/>Relation: be, Related to: the first of his four major plays",0,3,,
particulate,"The term aerosol commonly refers to the particulate/air mixture , as opposed to the particulate matter alone .","Relation: opposed, Related to: to the particulate matter alone","Relation: is defined as, Related to: term aerosol the particulate/air mixture , as opposed particulate matter alone<br/>Relation: is a, Related to: commonly refers to",1,2,,
helping,"Second helping is the second studio album by lynyrd skynyrd , released april 15 , 1974 .","Relation: is defined as, Related to: second studio album by lynyrd skynyrd , released april 15 , 1974","Relation: is, Related to: the second studio album by lynyrd skynyrd<br/>Relation: released, Related to: april 15 , 1974",0,1,,
pottery,"Pottery is the process of forming vessels and other objects with clay and other ceramic materials , which are fired to give them a hard , durable form .","Relation: is defined as, Related to: process of forming vessels and other objects with clay and other ceramic materials<br/>Relation: is a, Related to: fired to give them a hard , durable form","Relation: is, Related to: the process of forming vessels and other objects with clay and other ceramic materials<br/>Relation: forming, Related to: vessels and other objects with clay and other ceramic materials",0,1,,
count,"== definition == the word count came into english from the french comte , itself from latin comes -- in its accusative comitem -- meaning `` companion '' , and later `` companion of the emperor , delegate of the emperor '' .","Relation: came, Related to: into english","Relation: is a, Related to: == definition == the word count came into english from<br/>Relation: is defined as, Related to: the french comte , itself from latin comes -- in its accusative comitem -- meaning `` companion '' , and later `` companion emperor , delegate of the emperor ''",1,4,,
diner,"Diners offer a wide range of foods , mostly american cuisine , a casual atmosphere , and , characteristically , a combination of booths served by a waitstaff and a long sit-down counter with direct service , in the smallest simply by a cook .","Relation: offer, Related to: a wide range of foods , mostly american cuisine , a casual atmosphere , and , characteristically","Relation: is a, Related to: wide range american cuisine , a casual atmosphere , and , characteristically , a combination of booths served by a waitstaff and a long sit-down counter with direct service , in the smallest simply by a cook",1,2,,
thermistor,"A thermistor is a type of resistor whose resistance is dependent on temperature , more so than in standard resistors .","Relation: is a, Related to: resistor<br/>Relation: has the property, Related to: dependent on temperature , more so than in standard resistors","Relation: is, Related to: a type of resistor",0,1,,
rushmore,"Mount rushmore national memorial is centered around a sculpture carved into the granite face of mount rushmore in the black hills in keystone , south dakota .","Relation: is, Related to: centered around a sculpture<br/>Relation: centered, Related to: around a sculpture","Relation: is a, Related to: centered around a sculpture carved into the granite face of mount<br/>Relation: is defined as, Related to: rushmore in the black hills in keystone , south dakota",1,1,,
q,"== history == the semitic sound value of qp was / q / -lrb- voiceless uvular stop -rrb- , and the form of the letter could have been based on the eye of a needle , a knot , or even a monkey with its tail hanging down .","Relation: is used for, Related to: == history<br/>Relation: is defined as, Related to: semitic sound value of qp -lrb- voiceless uvular stop -rrb- , and the form of the letter could have based on eye of a needle , a<br/>Relation: causes, Related to: knot , or even a monkey with its tail hanging down","Relation: was, Related to: / q / -lrb- voiceless uvular stop -rrb-",0,3,,
beehive,"Though the word beehive is commonly used to describe the nest of any bee colony , scientific and professional literature distinguishes nest from hive .","Relation: is a, Related to: commonly describe the , scientific and<br/>Relation: is used for, Related to: nest of any bee colony<br/>Relation: is defined as, Related to: professional literature<br/>Relation: causes, Related to: from hive","Relation: is, Related to: commonly<br/>Relation: used, Related to: to describe the nest of any bee colony , scientific and professional literature<br/>Relation: describe, Related to: the nest of any bee colony , scientific and professional literature",0,2,,
evergreen,"Evergreens include : most species of conifers -lrb- e.g. , pine , hemlock , blue spruce , red cedar , and white/scots/jack pine -rrb- , but not all -lrb- e.g. , larch -rrb- live oak , holly , and `` ancient '' gymnosperms such as cycads most angiosperms from frost-free climates , such as eucalypts and rainforest trees clubmosses and relativesthe latin binomial term sempervirens , meaning `` always green '' , refers to the evergreen nature of the plant , for instance cupressus sempervirens -lrb- a cypress -rrb- lonicera sempervirens -lrb- a honeysuckle -rrb- sequoia sempervirens -lrb- a sequoia -rrb- leaf persistence in evergreen plants varies from a few months to several decades -lrb- over thirty years in the great basin bristlecone pine -rrb- .","Relation: include, Related to: most species of conifers -lrb- e.g. , pine , hemlock , blue spruce , red cedar , and white / scots / jack pine -rrb- , but not all -lrb- e.g. , larch -rrb- live oak , holly , and `` ancient '' gymnosperms such as cycads most angiosperms from frost - free climates , such as eucalypts and rainforest trees clubmosses and relativesthe latin binomial","Relation: is a, Related to: most species of conifers<br/>Relation: has the property, Related to: blue spruce<br/>Relation: is defined as, Related to: red cedar , and white/scots/jack pine -rrb- , but not -lrb- e.g. , larch -rrb- oak , , and `` ancient '' gymnosperms such as cycads most angiosperms from frost-free climates , such as eucalypts and rainforest trees clubmosses and relativesthe latin binomial term sempervirens , meaning `` always green '' , refers to the evergreen nature plant , for instance cupressus sempervirens -lrb- a -rrb-<br/>Relation: causes, Related to: all live holly cypress lonicera sempervirens -lrb- a honeysuckle -rrb- sequoia sempervirens -lrb- a sequoia -rrb- leaf persistence in evergreen plants varies from a few months to several decades -lrb- over thirty years in the great basin bristlecone pine -rrb-",1,4,,
indiana,Indiana is the 38th largest by area and the 17th most populous of the 50 united states .,"Relation: is, Related to: the 38th largest by area and the 17th most populous of the 50 united states","Relation: is defined as, Related to: 38th largest by area and the 17th most populous of the 50 united states",1,2,,
visibility,"Meteorological visibility refers to transparency of air : in dark , meteorological visibility is still the same as in daylight for the same air .","Relation: refers, Related to: to transparency of air<br/>Relation: is, Related to: still","Relation: causes, Related to: still the<br/>Relation: is defined as, Related to: same as in daylight for the same air",1,4,,
bedding,"In american english , the word bedding generally does not include the mattress , bed frame , or bed base -lrb- such as box-spring -rrb- , while in british english it does .","Relation: has the property, Related to: american<br/>Relation: is defined as, Related to: word bedding does not the mattress , bed frame , or bed base -lrb- such as box-spring -rrb- , while in british english it does","Relation: include, Related to: the mattress , bed frame , or bed base -lrb- such as box - spring -rrb-",0,4,,
vaccine,"A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe , its toxins , or one of its surface proteins .","Relation: is part of, Related to: A<br/>Relation: is defined as, Related to: typically disease-causing microbe , its toxins , or one of its surface proteins<br/>Relation: is a, Related to: often<br/>Relation: has the property, Related to: from weakened or killed forms","Relation: contains, Related to: an agent that resembles a disease - causing microorganism<br/>Relation: is, Related to: from weakened or<br/>Relation: made, Related to: from weakened or<br/>Relation: killed, Related to: forms of the microbe , its toxins , or one of its surface proteins",0,2,,
hairdryer,"A hair dryer , hairdryer or blow dryer is an electromechanical device that blows ambient or hot air over damp hair to speed the evaporation of water to dry the hair .","Relation: is, Related to: an electromechanical device that blows ambient or hot air over damp hair to speed the evaporation of water to dry the hair","Relation: is a, Related to: an electromechanical device that blows ambient or hot air over damp hair to speed the evaporation of water to dry the hair",1,1,,
childhood,"According to piaget 's theory of cognitive development , childhood consists of two stages : preoperational stage and concrete operational stage .","Relation: is a, Related to: piaget 's theory development<br/>Relation: is part of, Related to: two<br/>Relation: is defined as, Related to: stages : preoperational stage and concrete operational stage","Relation: consists, Related to: of two stages",0,2,,
idaho,"With a population of approximately 1.7 million and an area of 83,569 square miles -lrb- 216,440 km2 -rrb- , idaho is the 14th largest , the 12th least populous and the 7th least densely populated of the 50 u.s. states .","Relation: is, Related to: the 14th largest , the 12th least populous and the 7th least densely populated of the 50","Relation: is a, Related to: approximately and an area square miles 216,440 km2<br/>Relation: has the property, Related to: 1.7 million<br/>Relation: is defined as, Related to: 14th largest , the 12th least populous and the 7th least densely populated of the 50 u.s. states",1,4,,
odds,"In statistics , the odds for or odds of some event reflect the likelihood that the event will take place , while odds against reflect the likelihood that it will not .","Relation: is defined as, Related to: or of some event likelihood that the event will take place , while odds against the likelihood that it will not","Relation: reflect, Related to: the likelihood that the event will take place , while odds against reflect the likelihood<br/>Relation: reflect, Related to: the likelihood that it will not",0,2,,
knowledge,"In philosophy , the study of knowledge is called epistemology ; the philosopher plato famously defined knowledge as `` justified true belief '' , though this definition is now thought by some analytic philosophers to be problematic because of the gettier problems , while others defend the platonic definition .","Relation: has the property, Related to: philosophy ,<br/>Relation: is a, Related to: called epistemology ; the philosopher plato<br/>Relation: causes, Related to: justified true belief<br/>Relation: causes, Related to: now thought by some analytic philosophers to be problematic because of the gettier problems , while others defend the platonic definition","Relation: is, Related to: called<br/>Relation: called, Related to: epistemology",0,4,,
chipmunk,"Chipmunks are found in north america , with the exception of the siberian chipmunk which is found primarily in asia .","Relation: is a, Related to: found in north america , with the exception of<br/>Relation: is a, Related to: found primarily in asia","Relation: are, Related to: found<br/>Relation: found, Related to: in north america<br/>Relation: found, Related to: in asia",0,2,,
fauna,"Zoologists and paleontologists use fauna to refer to a typical collection of animals found in a specific time or place , e.g.","Relation: refer, Related to: to a typical collection of animals","Relation: is a, Related to: refer to a typical collection of animals found in a specific time or place , e.g.",1,4,,
indiana,Indiana -lrb- listen -rrb- is a u.s. state located in the midwestern and great lakes regions of north america .,"Relation: is, Related to: a u.s . state","Relation: is a, Related to: a u.s. state located in the midwestern and great lakes regions of north america",1,1,,
tyrannosaurus,"Tyrannosaurus lived throughout what is now western north america , on what was then an island continent known as laramidia .","Relation: lived, Related to: throughout what is now western north america<br/>Relation: is, Related to: now<br/>Relation: was, Related to: then","Relation: is a, Related to: now western north america , on what then an island continent known as laramidia",1,3,,
astronaut,"Although generally reserved for professional space travelers , the terms are sometimes applied to anyone who travels into space , including scientists , politicians , journalists , and tourists.until 2002 , astronauts were sponsored and trained exclusively by governments , either by the military or by civilian space agencies .","Relation: were, Related to: sponsored<br/>Relation: trained, Related to: by governments","Relation: is used for, Related to: professional space travelers , the terms<br/>Relation: causes, Related to: sometimes applied to anyone who travels into space , including scientists , politicians , journalists , and tourists.until 2002 , astronauts were sponsored and trained exclusively by governments , either by the military or by civilian space agencies",1,2,,
inertia,The principle of inertia is one of the fundamental principles in classical physics that are still used today to describe the motion of objects and how they are affected by the applied forces on them .,"Relation: is, Related to: one of the fundamental principles in classical physics","Relation: has the property, Related to: one of the fundamental principles in classical physics still used today to describe the motion of objects and how affected by the applied<br/>Relation: is defined as, Related to: forces on them",1,4,,
ohio,"The state takes its name from the ohio river , whose name in turn originated from the seneca word ohiyo ' , meaning `` good river '' , `` great river '' or `` large creek '' .","Relation: is a, Related to: ohio river , from<br/>Relation: is defined as, Related to: whose the seneca word ohiyo ' , meaning `` good river '' , `` great river '' or `` large creek ''","Relation: originated, Related to: from the seneca word ohiyo",0,4,,
holiday,"The degree to which normal activities are reduced by a holiday may depend on local laws , customs , the type of job held or personal choices .","Relation: is a, Related to: reduced<br/>Relation: causes, Related to: by a holiday may depend on local laws , customs or personal choices","Relation: depend, Related to: on local laws , customs , the type of job held or personal choices",0,4,,
sen,"Sens -lrb- french pronunciation : -lsb- ss -rsb- -rrb- is a commune in the yonne department in bourgogne-franche-comt in north-central france , 120 km from paris .","Relation: is defined as, Related to: french : -lsb- ss<br/>Relation: is a, Related to: a commune in the yonne department in bourgogne-franche-comt in north-central france , 120 km from paris","Relation: is, Related to: a commune in the yonne department in bourgogne - franche - comt in north - central france , 120 km from paris",0,1,,
jenga,"Jenga is a game of physical skill created by leslie scott , and currently marketed by hasbro .","Relation: is a, Related to: a game of physical skill created by leslie scott , and currently marketed by hasbro","Relation: is, Related to: a game of physical skill<br/>Relation: marketed, Related to: by hasbro",0,1,,
childhood,"In developmental psychology , childhood is divided up into the developmental stages of toddlerhood -lrb- learning to walk -rrb- , early childhood -lrb- play age -rrb- , middle childhood -lrb- school age -rrb- , and adolescence -lrb- puberty through post-puberty -rrb- .","Relation: has the property, Related to: developmental psychology , childhood<br/>Relation: has the property, Related to: divided up into the developmental stages<br/>Relation: is a, Related to: of<br/>Relation: is defined as, Related to: toddlerhood -lrb- walk -rrb- , early childhood -lrb- play age -rrb- , middle childhood -lrb- school age -rrb- , and adolescence -lrb- puberty through post-puberty -rrb-","Relation: is, Related to: into the developmental stages of toddlerhood -lrb-<br/>Relation: divided, Related to: into the developmental stages of toddlerhood -lrb-",0,3,,
bacon,"Bacon is also used for barding and larding roasts , especially game , including venison and pheasant .","Relation: is a, Related to: also<br/>Relation: is used for, Related to: barding and larding roasts , especially game , including venison and pheasant","Relation: is, Related to: for barding and larding roasts , especially game , including venison and pheasant<br/>Relation: used, Related to: for barding and larding roasts , especially game , including venison and pheasant",0,4,,
sledding,"Sledding , sledging or sleighing is a worldwide winter activity , typically carried out in a prone or seated position on a vehicle generically known as a sled -lrb- north american -rrb- , a sledge -lrb- british -rrb- , or a sleigh .","Relation: sleighing, Related to: is<br/>Relation: is, Related to: a worldwide winter activity , typically carried out in a prone or seated position on a vehicle","Relation: is a, Related to: a worldwide winter activity , typically carried out in a prone or seated position on a vehicle generically known as a sled -lrb- north american -rrb- , a sledge -lrb- british -rrb- , or a sleigh",1,1,,
